operatingGrossMargin, operatingProfitRate,preTaxNetInterestRate,afterTaxNetInterestRate,cashFlowpershare,,perShareNetProfitBeforeTax,regularNetProfitGrowthRate,quickRatio
0.601457213277793,0.998969203197885,0.796887145860514,0.808809360876843,0.311664426681757,,0.138736160277171,0.688979462807371,0.00120775508523532
0.610235085544617,0.998945978205482,0.797380191277827,0.809300725667939,0.318136804131004,,0.16991790314077,0.689701701610895,0.00403936682691048
0.601450006486113,0.998857353483229,0.796403369254357,0.808387521469543,0.30710193110278,,0.142803344128945,0.689469659564714,0.00534756022243655
0.583541129160121,0.998699747067122,0.796966968308828,0.808965597694361,0.321673622409281,,0.148602847028696,0.689109535618137,0.00289649114708036
0.598783493564335,0.998973131803565,0.797366080550396,0.809303720206941,0.319162481431704,,0.168411538751224,0.689696883030727,0.00372744660861623
0.590171377506162,0.998758098416194,0.796903193354456,0.808770562067159,0.325387281601471,,0.138811478496648,0.689177543962186,0.000854661398126233
0.619949840729904,0.998993121473643,0.797011928959958,0.808960389800444,0.31668670863691,,0.128944791745123,0.688589850304315,0.00286904216787047
0.601738278153332,0.999008951443589,0.797448808148475,0.809361527829423,0.324114027021292,,0.180462453867591,0.689535186484246,0.00730454767201464
0.603612043990256,0.998960768250395,0.797413531329896,0.809338092306795,0.318773431421094,,0.173156586578293,0.689924337326926,0.0118230239542251
0.599208694273483,0.999000632043326,0.797403570816415,0.809320385467476,0.330161986277145,,0.176621224674249,0.689338461456783,0.00751665342045473
0.61402585796855,0.998978446975956,0.797534994258179,0.809459696629764,0.319162481431704,,0.178579498380658,0.689359726687825,0.00344921377389777
0.623711785987114,0.998975327200857,0.797442859508479,0.809389129667184,0.319869845087359,,0.172478722602998,0.689351993876537,0.00512297766526469
0.608130702373917,0.999044886630839,0.797428887121513,0.809344341779496,0.321213836033105,,0.174286359870453,0.689935936543858,0.00402938537992506
0.600577984692775,0.998967007800593,0.797368293997836,0.809299293497111,0.32231024969937,,0.168863448068088,0.689652794464877,0.00644676707170547
